p,q,q1_0,q1_1,q2_10,q2_00,q2_11,q2_01,m,D_vals
0.6666117621262418,0,0.1666930636230208,0.0,0.25003959543453114,0.0,0.0,0.0,0.1,0.0021240645347310526
0.6801809918590261,0,0.1966110435501094,0.0,0.29491656532516414,0.0,0.0,0.0,0.11794871794871796,0.0019910303932295253
0.694313640922832,0,0.22652872534052956,0.0,0.3397930880107923,0.0,0.0,0.0,0.13589743589743591,0.0018646847378772514
0.7090455694295483,0,0.25644614394383414,0.0,0.3846692159157509,0.0,0.0,0.0,0.15384615384615385,0.0017448752708033135
0.7244157461073222,0,0.2863633332694828,0.0,0.4295449999042243,0.0,0.0,0.0,0.1717948717948718,0.0016314402827038214
0.7404665926093413,0,0.3162803261870734,0.0,0.47442048928061,0.0,0.0,0.0,0.18974358974358976,0.0015242095375872658
0.7572443746218468,0,0.3461971545265652,0.0,0.5192957317898479,0.0,0.0,0.0,0.2076923076923077,0.0014230051825474997
0.7747996473646581,0,0.37611384907848905,0.0,0.5641707736177354,0.0,0.0,0.0,0.22564102564102567,0.0013276426742320358
0.7931877645188864,0,0.4060304395941461,0.0,0.609045659391219,0.0,0.0,0.0,0.2435897435897436,0.001237931713724582
0.8124694613732868,0,0.43594695478578843,0.0,0.6539204321786825,0.0,0.0,0.0,0.26153846153846155,0.0011536771817550519
0.8327115251312551,0,0.46586342232679717,0.0,0.6987951334901957,0.0,0.0,0.0,0.2794871794871795,0.0010746800664763296
0.8539875679656279,0,0.49577986885184194,0.0,0.7436698032777627,0.0,0.0,0.0,0.2974358974358975,0.0010007383764893908
0.8763789216776021,0,0.5256963199570313,0.0,0.7885444799355468,0.0,0.0,0.0,0.3153846153846154,0.0009316480323398162
0.8999756768774816,0,0.5556128002000539,0.0,0.833419200300081,0.0,0.0,0.0,0.33333333333333337,0.0008672037303304157
0.9248778946776416,0,0.5855293331003065,0.0,0.87829399965046,0.0,0.0,0.0,0.35128205128205137,0.000807199773176815
0.9511970252599026,0,0.6154459411390137,0.0,0.9231689117085202,0.0,0.0,0.0,0.36923076923076925,0.0007514308627559038
0.979057575730895,0,0.6453626457593368,0.0,0.9680439686390051,0.0,0.0,0.0,0.38717948717948725,0.0006996928509419873
1,0,0.6810862494725013,0.0,1.0,0.00027922160966107164,0.0,0.0,0.40512820512820513,0.0006510072485916635
1,0,0.7333890753813601,0.0,1.0,0.0003648227183061383,0.0,0.0,0.42307692307692313,0.0006041428226032505
1,0,0.7890507983669348,0.0,1.0,0.000502946341515789,0.0,0.0,0.4410256410256411,0.0005609062540535513
1,0,0.8484057162425471,0.0,1.0,0.0007625300173444406,0.0,0.0,0.458974358974359,0.0005211286574699221
1,0,0.9118340108351137,0.0,1.0,0.0014271603750997204,0.0,0.0,0.476923076923077,0.00048464071481344145
1,0,0.979769899967253,0.0,1.0,0.006765402957265798,0.0,0.0,0.4948717948717949,0.0004512732089109901
1,0,1.0,0.050076011883672986,1.0,1.0,1.0,0.00014879250390741533,0.5128205128205129,0.00043473935957194087
1,0,1.0,0.11601804086918,1.0,1.0,1.0,0.00016170702879653146,0.5307692307692308,0.00042432169208611917
1,0,1.0,0.17764610534161682,1.0,1.0,1.0,0.00017572060752345104,0.5487179487179488,0.0004141439603836234
1,0,1.0,0.23537012953073186,1.0,1.0,1.0,0.00019096409287548352,0.5666666666666668,0.00040420399677579163
1,0,1.0,0.28954969609419917,1.0,1.0,1.0,0.0002075909543483885,0.5846153846153846,0.0003944996274565595
1,0,1.0,0.34050154379856656,1.0,1.0,1.0,0.00022578238513816369,0.6025641025641026,0.00038502867295483616
1,0,1.0,0.3885057639497885,1.0,1.0,1.0,0.00024575385841626134,0.6205128205128205,0.00037578894858517666
1,0,1.0,0.43381095164270905,1.0,1.0,1.0,0.00026776363653239815,0.6384615384615385,0.00036677826489658156
1,0,1.0,0.47663851188367273,1.0,1.0,1.0,0.0002921239472844052,0.6564102564102564,0.00035799442811928486
0,0,1.0,0.6744102336548871,1.0,1.0,0.517296515492639,0.0,0.6743589743589744,0.00037397093697829286
0,0,1.0,0.6923603159194658,1.0,1.0,0.555738571677156,0.0,0.6923076923076924,0.0003620757446747196
0,0,1.0,0.7103103981840445,1.0,1.0,0.5922378978844273,0.0,0.7102564102564103,0.00035077239495048373
0,0,1.0,0.7282604804486233,1.0,1.0,0.6269381532105015,0.0,0.7282051282051283,0.0003400333726236001
0,0,1.0,0.746210562713202,1.0,1.0,0.6599691730488746,0.0,0.7461538461538462,0.00032983231379522587
0,0,1.0,0.7641606449777808,1.0,1.0,0.6914485926797102,0.0,0.7641025641025642,0.00032014398195077823
0,0,1.0,0.7821107272423595,1.0,1.0,0.7214832472828347,0.0,0.7820512820512822,0.0003109442429020416
0,0,1.0,0.8000608095069383,1.0,1.0,0.7501703834874455,0.0,0.8,0.00030221003867144085
